tr_id;tr_name;art_id;art_name
692779412;Cokewhite (feat. Pusha T);6043158;GoldLink
692779412;Cokewhite (feat. Pusha T);1371731;Pusha T
895308962;(NYB) Need Your Best;4512;Jadakiss
895308962;(NYB) Need Your Best;4438587;Ty Dolla $ign
1202180062;All Blue;7677518;G Perico
854848822;Rainy Night In SF;4399176;Jay Worthy
854848822;Rainy Night In SF;5202636;Larry June
854848822;Rainy Night In SF;7981;The Alchemist
1077086022;Bank Withdrawal;354525;Smoke DZA
1077086022;Bank Withdrawal;5862690;Tish Hyman
1077086022;Bank Withdrawal;6410904;Numberz
687530762;IN THE AIR;9636710;Kari Faux
687530762;IN THE AIR;402158;Curren$y
690208792;K.R.I.T. HERE;493082;Big K.R.I.T.
670760782;Time Flies;6829;Bun B
670760782;Time Flies;192712;Statik Selektah
670760782;Time Flies;493082;Big K.R.I.T.
670760782;Time Flies;5090;Talib Kweli
1567221;Not Today;152;Mary J. Blige
1567221;Not Today;837;Eve
835007432;Even If It Hurts;4979486;Tei Shi
835007432;Even If It Hurts;524820;Blood Orange
397603322;SUMMER;7406332;BROCKHAMPTON
111515056;36 Oz. (feat. Chris Brown);262527;Skeme
1269471532;Done with the B-S;1522464;MonoNeon
1269471532;Done with the B-S;8105;Ledisi
1269471512;Grandma's House;1522464;MonoNeon
1269471512;Grandma's House;493510;Mr. Talkbox
84917659;Sky Mall;4441488;Vulfpeck
790617472;Joy Joy (feat. Brett Williams);10556219;Kinga Glyk
790617472;Joy Joy (feat. Brett Williams);128991;Brett Williams
133200148;Daddy, He Got a Tesla;4441488;Vulfpeck
904062122;Catch Me If You Can;1181203;Nik West
1000475972;M A C E O;5218;Maceo Parker
1098895152;Design (feat. Kimbra);8607980;Cory Wong
1098895152;Design (feat. Kimbra);392150;Kimbra
1372435612;Wanting (Tiny Room Sessions);410763;Greg Spero
1372435612;Wanting (Tiny Room Sessions);1522464;MonoNeon
1372435612;Wanting (Tiny Room Sessions);10133600;Ronald Bruner Jr.
1372435612;Wanting (Tiny Room Sessions);96764182;Robert Sput Searight
648646492;F it Up (Live Sesh);5084475;Louis Cole
492380612;Live Free;866423;The Brooks
1226817612;In the Hills;882636;Mr. Mitch
69867981;Long Weekend;387412;Trombone Shorty
