tr_id;tr_name;art_id;art_name
414344452;Moby Dick;170229577;Jakey
44300951;Forrest Gump (Album Version);1350335;Frank Ocean
1378344252;Checks;5391707;Markis Precise
1378344252;Checks;260750281;Jalen Santoy
1407303742;LUMBERJACK;1194083;Tyler, The Creator
1387594902;Headshots (4r da Locals);5515551;Isaiah Rashad
1408603592;Like 34 & 8 (feat. Pooh Shiesty);7972;Gucci Mane
1408603592;Like 34 & 8 (feat. Pooh Shiesty);61799192;Pooh Shiesty
1384164882;The Ghost;532048;Flight Facilities
5490696;Empire Ants (feat. Little Dragon);14;Gorillaz
5490696;Empire Ants (feat. Little Dragon);16952;Little Dragon
93030016;Mural;5047;Lupe Fiasco
820984762;Deep;3813;Fat Joe
820984762;Deep;331257;Dre
1368440792;Back Together;121311042;Amorphous
1368440792;Back Together;5603027;Kehlani
848799802;Mercy Mercy Me (The Ecology);1154;Marvin Gaye
549238572;Ain't No Mountain High Enough;1154;Marvin Gaye
549238572;Ain't No Mountain High Enough;110513;Tammi Terrell
1143791392;Flawed (feat. Gunna);281561;Wale
1143791392;Flawed (feat. Gunna);4344192;Gunna
1290655012;You Got It (Remix);353076;Vedo
1290655012;You Got It (Remix);3561671;Yung Bleu
1118235032;Organic Chances;376547;Berner
1118235032;Organic Chances;5202636;Larry June
1118235032;Organic Chances;5483;Devin the Dude
1358147632;Last Minute Trips;5231049;Azizi Gibson
74791096;Webbie Flow (U Like);5515551;Isaiah Rashad
101422098;Live from Chattanooga;5518513;YGTUT
370426051;Go Gina;5531258;SZA
96404196;Bring Em Out;4584335;Bodega Bamz
96404196;Bring Em Out;4318181;Flatbush Zombies
913507572;I Know;4633017;Kirk Knight
913507572;I Know;5944284;Mick Jenkins
1406165552;Gang Pop;65101882;Sharc
1406165552;Gang Pop;6828755;Pi'erre Bourne
1015844292;Black Magic Hour;7488552;Jidenna
1015844292;Black Magic Hour;4545654;Bullish
1246429332;Lose Lose;288;Jim Jones
1246429332;Lose Lose;4633013;Harry Fraud
