tr_id;tr_name;art_id;art_name
94555846;Classic Man (feat. Roman GianArthur);7488552;Jidenna
94555846;Classic Man (feat. Roman GianArthur);4484804;Roman GianArthur
70257009;Electric Lady (feat. Solange);131935;Janelle Monáe
70257009;Electric Lady (feat. Solange);4484804;Roman GianArthur
70257009;Electric Lady (feat. Solange);110703;Solange
70257009;Electric Lady (feat. Solange);383038;Solange Knowles
1134732822;Out The Window;11558597;Lo Village
967389742;Dollas and Cents;499295;TOBi
967389742;Dollas and Cents;5003132;Juls
1012420752;Give Up;616943;Russ
13132599;Many the Miles;14713;Sara Bareilles
993814042;Still Strange (feat. Priya Ragu & Sainte Ezekiel);537702;Oddisee
993814042;Still Strange (feat. Priya Ragu & Sainte Ezekiel);6594942;Priya Ragu
993814042;Still Strange (feat. Priya Ragu & Sainte Ezekiel);98006702;Sainte Ezekiel
1223943602;Nike Shoe Box 2.0 (feat. Problem);11070746;Lou Phelps
1223943602;Nike Shoe Box 2.0 (feat. Problem);497902;Problem
1089399852;Be You 2 (feat. Curren$y);4935345;Mark Battles
1089399852;Be You 2 (feat. Curren$y);56398992;Billy Winfield
1089399852;Be You 2 (feat. Curren$y);1163698;Franchise
1089399852;Be You 2 (feat. Curren$y);402158;Curren$y
1394238442;Body & Soul;14709263;Emotional Oranges
1394238442;Body & Soul;12140800;Biig Piig
1324829742;skeletons;826388;hard life
1093753232;Good Love 2.0;6594942;Priya Ragu
1355929522;Woman;4578590;Little Simz
1355929522;Woman;1428258;Cleo Sol
1197347062;Nobody's Fault;10135;Benny Sings
1197347062;Nobody's Fault;6006756;Tom Misch
935268342;Nightrider;6006756;Tom Misch
935268342;Nightrider;10918548;Yussef Dayes
935268342;Nightrider;392180;Freddie Gibbs
1279879342;Relax;4863913;Rejjie Snow
1279879342;Relax;8531566;Cam O'Bi
1279879342;Relax;75832022;grouptherapy.
1386283362;Free My People;15025623;Greentea Peng
1386283362;Free My People;473595;Simmy
1386283362;Free My People;14725883;Kid Cruise
1322446662;Blowin Steam (Open Up Your Mind);12165454;Mr Jukes
1322446662;Blowin Steam (Open Up Your Mind);6707241;Barney Artist
854848802;Bellin;4399176;Jay Worthy
854848802;Bellin;14708169;Boogie
854848802;Bellin;135232;Jake One
1385345162;World On Lock;432049;Chris Webby
917157102;Protect Your Connect;146701;The Cool Kids
917157102;Protect Your Connect;179986;KAB
917157102;Protect Your Connect;4437489;Boldy James
1257084522;So.Incredible.pkg (Robert Glasper Version);5131091;Denzel Curry
1257084522;So.Incredible.pkg (Robert Glasper Version);12970799;Kenny Beats
1257084522;So.Incredible.pkg (Robert Glasper Version);9492178;Smino
1257084522;So.Incredible.pkg (Robert Glasper Version);215702;Robert Glasper
987049182;Black 2;62794;Buddy
1040159582;Shimmy;10792606;Aminé
2133613;Baby, I Love You;2059;Aretha Franklin
