tr_id;tr_name;art_id;art_name
917508372;Back It Up;55756472;Cohlman
1234449712;Never;88334892;Zoahh
1234449712;Never;5888594;Tmoney
959448062;Americano;12951189;¿Téo?
122118872;Sunday Night;10087002;070 Shake
122118872;Sunday Night;827284;PHI
575943342;Infatuation;1622596;Takeoff
669790482;Boyer;5925973;Kevin Abstract
762012372;RUDEBWOY (feat. Joey Bada$$);5890245;CJ Fly
762012372;RUDEBWOY (feat. Joey Bada$$);4105259;Joey Bada$$
1239056712;What It Feels Like;257128;Nipsey Hussle
1239056712;What It Feels Like;1309;JAY Z
1089549142;Disclosure;1477173;Jazz Cartier
110105744;These Days;1706085;Mike Stud
547570092;Small Victories;745697;Warm Brew
466036222;Diamond Dust;7153528;A$AP ANT
109702592;Trap Tears (feat. Key!);5590331;Raury
109702592;Trap Tears (feat. Key!);7124091;Key!
456965082;Paramedic!;11649013;SOB X RBE
913507612;Front & Center;4105259;Joey Bada$$
816096942;Cold Summer;74;Fabolous
703143482;Tuesday Feeling (Choose To Stay);524820;Blood Orange
703143482;Tuesday Feeling (Choose To Stay);345052;Tinashe
1250899022;ACOUSCOUS;14040631;emawk
1040254172;BLIND;11363014;DaBaby
1040254172;BLIND;1590752;Young Thug
715229142;1 Hell of a Life;4099751;Young Dolph
715229142;1 Hell of a Life;11816945;Key Glock
119437180;Down In the DM;103369;Yo Gotti
567091822;BIGGEST ALLEY OOP;5059044;Quavo
412508522;Everybody Mad;5510618;O.T. Genasis
71481397;I Wish (LP Version);185;R. Kelly
14629046;Ambition (feat. Meek Mill & Rick Ross);281561;Wale
14629046;Ambition (feat. Meek Mill & Rick Ross);413596;Meek Mill
14629046;Ambition (feat. Meek Mill & Rick Ross);9112;Rick Ross
