tr_id;tr_name;art_id;art_name
651818962;Doing Better;4735463;Jamie Isaac
370566921;Playing for You;5075917;Joe Hertz
370566921;Playing for You;10856664;Bassette
1291491492;Avant;12195384;Matild
539920532;Hope;524820;Blood Orange
539920532;Hope;173581;Diddy
539920532;Hope;4979486;Tei Shi
434211452;Come Through and Chill (feat. J. Cole & Salaam Remi);365664;Miguel
434211452;Come Through and Chill (feat. J. Cole & Salaam Remi);339209;J. Cole
434211452;Come Through and Chill (feat. J. Cole & Salaam Remi);4403831;Salaam Remi
551066722;Heaven or Hell (feat. Jadakiss & Guordan Banks);413596;Meek Mill
551066722;Heaven or Hell (feat. Jadakiss & Guordan Banks);4512;Jadakiss
551066722;Heaven or Hell (feat. Jadakiss & Guordan Banks);1978351;Guordan Banks
684108872;One, Two Step;1273981;SWAVAY
1414317562;Imagine;238;Common
1414317562;Imagine;205787;Pj
1566480852;Meagan Good;12041350;Tierra Whack
739443542;Crush;7990602;Duckwrth
717414242;Yellow (feat. Bekon);13874291;Rich Brian
717414242;Yellow (feat. Bekon);12308060;Bekon
134347070;Photosynthesis;253278;Saba
134347070;Photosynthesis;5291670;Jean Deaux
1383068832;Strange Love - Single Edit;9425234;Cautious Clay
1383068832;Strange Love - Single Edit;130363052;Saba
370254401;Hell To The Liars;4771546;London Grammar
3173071;Morning Yearning;249;Ben Harper
98094988;Dawning On Me;384039;Villagers
1138610;Blue Caravan;13895;Vienna Teng
124348304;Elfen Lied - Lilium (Piano Version);5955294;myuu
84855495;Beautiful Girl;182449;William Fitzsimmons
1600644122;Black Hole Sun;4333505;Nouela
430934142;A Soaking Wet Monster;8707974;Cat Trumpet
1647972852;Power Power (feat. Shaun Ross);7990602;Duckwrth
1647972852;Power Power (feat. Shaun Ross);8489140;Shaun Ross
1052649682;Super Bounce;7990602;Duckwrth
1052649682;Super Bounce;5898689;EARTHGANG
602456592;Start a Riot;7990602;Duckwrth
602456592;Start a Riot;6853437;Shaboozey
132444876;I'M DEAD;7990602;Duckwrth
132444876;I'M DEAD;11050630;Sabrina Claudio
