tr_id;tr_name;art_id;art_name
349922251;Solo;1350335;Frank Ocean
74928897;Morning;408;Beck
14386024;Wonderful Life;1459939;Smith & Burrows
133200142;Conscious Club;4441488;Vulfpeck
596680492;Going Bad (feat. Drake);413596;Meek Mill
596680492;Going Bad (feat. Drake);246791;Drake
142728858;Sunday Vibes;7814240;Masego
142728858;Sunday Vibes;9267850;Medasin
662437212;Make It Better (feat. Smokey Robinson);6474027;Anderson .Paak
662437212;Make It Better (feat. Smokey Robinson);16528;Smokey Robinson
1137572222;Invisible;1522464;MonoNeon
145426950;Something About You;7;Jamiroquai
60742349;I Will Wait;288092;Mumford & Sons
126011319;Vor í Vaglaskógi;1138351;KALEO
1638599922;The Power of the One (feat. George Benson & Williams Singers);8491;Bootsy Collins
1638599922;The Power of the One (feat. George Benson & Williams Singers);4029;George Benson
1638599922;The Power of the One (feat. George Benson & Williams Singers);4240067;Williams Singers
118993820;Give Up The Funk (Tear The Roof Off The Sucker);909;Parliament
1304070632;Rhythm in Your Mind;103543712;STR4TA
350171331;LOVE.;525046;Kendrick Lamar
350171331;LOVE.;8669346;Zacari
537803892;Le château ambulant;49753152;Claire Le Boulanger
537803892;Le château ambulant;49753142;Isabelle Le Boulanger
1120335572;Fine On The Outside;1511227;Takatsugu Muramatsu
1402141722;Light It Up;4962010;Migos
1402141722;Light It Up;58447102;Pop Smoke
1413669882;CORSO;1194083;Tyler, The Creator
653786052;Woman Of The World;1154;Marvin Gaye
420471572;Gucci Coffin;5422795;Josh A
420471572;Gucci Coffin;11037846;Iamjakehill
1409675372;Save Some;8893;D'Sound
1409675372;Save Some;135;Macy Gray
1225758602;Pray For Me;4050205;The Weeknd
1225758602;Pray For Me;525046;Kendrick Lamar
717960082;RNP (feat. Anderson .Paak);4567404;Cordae
717960082;RNP (feat. Anderson .Paak);6474027;Anderson .Paak
97328590;Forrest Gump;1350335;Frank Ocean
