tr_id;tr_name;art_id;art_name
706956512;Down Bad;116025;Dreamville
706956512;Down Bad;8409650;JID
706956512;Down Bad;483061;Bas
706956512;Down Bad;339209;J. Cole
706956512;Down Bad;5898689;EARTHGANG
706956512;Down Bad;8000730;Young Nudy
90563091;No Role Modelz;339209;J. Cole
489126892;Kevin’s Heart;339209;J. Cole
585354262;Shea Butter Baby;5478691;Ari Lennox
585354262;Shea Butter Baby;339209;J. Cole
740348412;ADHD;5942214;Joyner Lucas
548348632;Lucky You;13;Eminem
548348632;Lucky You;5942214;Joyner Lucas
913551742;Devil's Work;5942214;Joyner Lucas
684000632;Isis;5942214;Joyner Lucas
684000632;Isis;72660;Logic
465602902;Stranger Things;5942214;Joyner Lucas
465602902;Stranger Things;102;Chris Brown
913551712;The War (feat. Young Thug);5942214;Joyner Lucas
913551712;The War (feat. Young Thug);1590752;Young Thug
913551732;I Love;5942214;Joyner Lucas
898406422;Lotto;5942214;Joyner Lucas
913551782;Finally (feat. Chris Brown);5942214;Joyner Lucas
913551782;Finally (feat. Chris Brown);102;Chris Brown
913551792;10 Bands (feat. Timbaland);5942214;Joyner Lucas
913551792;10 Bands (feat. Timbaland);9662;Timbaland
371593081;Ultrasound;5942214;Joyner Lucas
913551772;Gold Mine;5942214;Joyner Lucas
371593171;Look What You Made Me Do (feat. Stefflon Don);5942214;Joyner Lucas
371593171;Look What You Made Me Do (feat. Stefflon Don);3972081;Stefflon Don
371593111;Keep It 100;5942214;Joyner Lucas
626414702;Just Let Go;5942214;Joyner Lucas
626414702;Just Let Go;102;Chris Brown
129940244;Rock Bottom;5942214;Joyner Lucas
1357166652;Amorphous;429403;The Underachievers
1357166652;Amorphous;181878;Portugal. The Man
510409142;Pennyroyal;4105259;Joey Bada$$
620279402;Soho;112916302;WESTSIDE BOOGIE
620279402;Soho;8409650;JID
478079042;Dumb (feat. Boogie);3802;"Royce da 5'9"""
90563081;03' Adolescence;339209;J. Cole
