tr_id;tr_name;art_id;art_name
1463673462;Blue;170482;Angus & Julia Stone
1402057392;Catholic Country;1336;Kings of Convenience
1402057392;Catholic Country;644;Feist
551114702;Berlin;4993003;RY X
94439814;La Vie En Rose;4037109;Daniela Andrade
69010085;Amsterdam;398727;Gregory Alan Isakov
1076774762;My Girl;372617;Boyce Avenue
1358763232;Your Power;9635624;Billie Eilish
688078742;Don't Look Back In Anger;5275810;Chlara
76505296;Two of Us on the Run;394840;Lucius
461486292;Fly Me to the Moon;13084061;The Macarons Project
695728412;Colder Heavens (Acoustic Version);9208946;Blanco White
1241541892;Bury the Light;108985612;Casey Edwards, Victor Borba
591081862;Kelso;13421709;Matty Wood$
903295692;Hibiscus (feat. Gaby Duran & CJ Smith);167264;Asher Roth
903295692;Hibiscus (feat. Gaby Duran & CJ Smith);5632258;Gaby Duran
903295692;Hibiscus (feat. Gaby Duran & CJ Smith);4633960;CJ Smith
144091198;Glass Flows;9492178;Smino
144091198;Glass Flows;8973774;Ravyn Lenae
1449984742;Imagine;238;Common
1449984742;Imagine;205787;Pj
679428662;I’m Not Ready;2671141;Domani
994361532;Snow On Tha Bluff;339209;J. Cole
645646422;Chill;15056;Bakar
121793292;Coming Back (feat. Mac Miller);4808909;Domo Genesis
121793292;Coming Back (feat. Mac Miller);632926;MAC MILLER
717960062;Bad Idea (feat. Chance the Rapper);4567404;Cordae
717960062;Bad Idea (feat. Chance the Rapper);4400138;Chance the Rapper
1300384982;In Love;52610412;Aaron May
532277;Don't Aproach Me (feat. Eminem);2541;Xzibit
532277;Don't Aproach Me (feat. Eminem);13;Eminem
1534681292;Colors;10792606;Aminé
115916052;Native Son (The Noisy Freaks Remix);796051;Gramatik
115916052;Native Son (The Noisy Freaks Remix);10075736;Leo Napier
115916052;Native Son (The Noisy Freaks Remix);3886;Raekwon
