tr_id;tr_name;art_id;art_name
430947822;The Castle in the Sky;7355254;KayThePianist
553901882;Wake Up in the Sky;7972;Gucci Mane
553901882;Wake Up in the Sky;429675;Bruno Mars
553901882;Wake Up in the Sky;7260670;Kodak Black
706719772;Goodbyes;7543848;Post Malone
706719772;Goodbyes;1590752;Young Thug
530917091;Apollo;5462432;St. Paul & The Broken Bones
133200138;Animal Spirits;4441488;Vulfpeck
1408058322;Vaccine;4962010;Migos
672556612;Lover;4086166;Luke Sital-Singh
137372630;Woman;9557974;Adan & Xavi Y Los Imanes
61753080;Facing West;1360561;The Staves
630827232;Champion;230;Kanye West
136889406;Reminder;4050205;The Weeknd
63282025;Halo;1125330;Lotte Kestner
872007022;Nothing Compares 2 U (Acoustic);91007822;John Adams
1168269542;Simmer (Acoustic);281737;Hayley Williams
1611835992;Take Me Home;13219681;Ocie Elliott
370254371;Big Picture;4771546;London Grammar
133200154;Cory Wong;4441488;Vulfpeck
384157671;November;1194083;Tyler, The Creator
728516732;On a Night Like This;10808030;Pink Flamingo Rhythm Revue
668919282;Dangerous;1057597;Schoolboy Q
668919282;Dangerous;158706;Kid Cudi
1476855072;Blame It on the Water;66567932;Sir Woman
453844322;Stir Fry;4962010;Migos
95254404;Know Yourself;246791;Drake
4232300;Enter Galactic (Love Connection Part I);158706;Kid Cudi
97206078;Complexion (A Zulu Love);525046;Kendrick Lamar
97206078;Complexion (A Zulu Love);186408;Rapsody
