tr_id;tr_name;art_id;art_name
1283264142;MONTERO (Call Me By Your Name);15166511;Lil Nas X
1386509082;Killer (Remix);13;Eminem
1386509082;Killer (Remix);9093938;Jack Harlow
1386509082;Killer (Remix);4567404;Cordae
1375065762;SUN GOES DOWN;15166511;Lil Nas X
1363383862;Astronaut In The Ocean (Remix) (feat. G-Eazy & DDG);13658563;Masked Wolf
1363383862;Astronaut In The Ocean (Remix) (feat. G-Eazy & DDG);810507;G-Eazy
1363383862;Astronaut In The Ocean (Remix) (feat. G-Eazy & DDG);107673;DDG
1234685982;6 For 6;12096038;Central Cee
920991662;Alone Again;4050205;The Weeknd
504273562;Come Back Baby;1371731;Pusha T
438318772;BLEACH;7406332;BROCKHAMPTON
1163783992;fuego (feat. Tyler, The Creator);13057631;Channel Tres
1163783992;fuego (feat. Tyler, The Creator);1194083;Tyler, The Creator
816233282;Crave You;532048;Flight Facilities
816233282;Crave You;79566;Giselle
95996066;F666 the Police (feat. Tyler, The Creator);1389529;MellowHype
422235732;MICHUUL.;7990602;Duckwrth
1052649632;Kiss U Right Now;7990602;Duckwrth
102659132;Under Control;668525;The Internet
349922351;Seigfried;1350335;Frank Ocean
114554906;Rhymes Like Dimes;2857;MF DOOM
114554906;Rhymes Like Dimes;9437634;DJ Cucumber Slice
1087787242;777;5078097;Joji
428526322;Ninety;1018354;Jaden
1372275212;a m a r i;339209;J. Cole
607697962;a lot;6853403;21 Savage
543120532;Tribe;483061;Bas
543120532;Tribe;339209;J. Cole
706956502;Under The Sun;339209;J. Cole
706956502;Under The Sun;151294;Lute
706956502;Under The Sun;116025;Dreamville
706956502;Under The Sun;11363014;DaBaby
489126872;ATM;339209;J. Cole
90563089;G.O.M.D.;339209;J. Cole
137833937;Deja Vu;339209;J. Cole
