tr_id;tr_name;art_id;art_name
140875587;Plastic 100°C;525619;SAMPHA
61823316;Damage (feat. Snow Tha Product);431022;Krizz Kaliko
61823316;Damage (feat. Snow Tha Product);463999;Snow Tha Product
1391338902;Intercepted;5202636;Larry June
1391338902;Intercepted;1117369;Money Man
94045422;Rolack's (feat. SkyZoo);7411814;WestSideGunn
94045422;Rolack's (feat. SkyZoo);115834;Skyzoo
559980512;War N Peace;81070;Styles P
142534969;All Your Fault;655913;Hopsin
728981;Stretchin' Out (In a Rubber Band);8491;Bootsy Collins
74791097;Cilvia Demo;5515551;Isaiah Rashad
572115812;Arms Around You (feat. Maluma & Swae Lee);9822974;XXXTentacion
572115812;Arms Around You (feat. Maluma & Swae Lee);10668131;Lil Pump
572115812;Arms Around You (feat. Maluma & Swae Lee);1424602;Maluma
572115812;Arms Around You (feat. Maluma & Swae Lee);7627172;Swae Lee
748418012;Real Thing;1099652;Ruel
141433457;Moves;15427;Big Sean
470815612;JAPAN;8685890;Famous Dex
535650262;Sometimes;389902;Larkin Poe
410107962;Fire;9074712;Barns Courtney
557495172;Loading Zones;294912;Kurt Vile
347385661;River;10246324;Bishop Briggs
633587912;I'll Be There;15012;Newton Faulkner
1069246982;Deep River (feat. Marcus King);10448362;Ida Mae
1069246982;Deep River (feat. Marcus King);169265137;Marcus King
13913368;Diamonds;401577;Ben Howard
60742288;I Will Wait;288092;Mumford & Sons
110144636;My Repair;4506993;Sons Of The East
13854680;Knots;206877;Lisa Hannigan
620279372;Silent Ride;112916302;WESTSIDE BOOGIE
542504682;1539 N. Calvert;10785056;JPEGMAFIA
143525388;LSD;9648102;Lord Bones
