tr_id;tr_name;art_id;art_name
347376711;Location;10002824;Playboi Carti
65823405;Creep;4037109;Daniela Andrade
436456572;Wicked Game;13748379;Daisy Gray
61752890;Oats In The Water;401577;Ben Howard
64607951;Space Cowboy;7;Jamiroquai
1053093;Take The L Train;2058;Brooklyn Funk Essentials
1398808112;Seven Nation Army;12551950;Scary Pockets
1398808112;Seven Nation Army;10475379;Elise Trouw
545599302;First view of tokyo;211087;RADWIMPS
695955652;Money;459578;Michael Kiwanuka
695955652;Money;6006756;Tom Misch
132754980;I'M DEAD;7990602;Duckwrth
132754980;I'M DEAD;11050630;Sabrina Claudio
1037870062;Reflex;10385666;SAINt JHN
1408909702;Just Another Day;72660;Logic
835721692;The Loch Ness Monster;49569212;Matilda Mann
927546252;Kool Aid & Frozen Pizza;632926;MAC MILLER
130007568;Nobody Knows;793825;The Lumineers
1023817332;Barcelona;5241932;George Ezra
456965102;King's Dead;265914;Jay Rock
456965102;King's Dead;525046;Kendrick Lamar
456965102;King's Dead;165930;Future
456965102;King's Dead;812409;James Blake
1408909692;Man Of The Year;72660;Logic
531222571;BLACK BALLOONS | 13LACK 13ALLOONZ;5131091;Denzel Curry
531222571;BLACK BALLOONS | 13LACK 13ALLOONZ;10771192;Twelve'len
531222571;BLACK BALLOONS | 13LACK 13ALLOONZ;6043158;GoldLink
75072832;Man Of The Year;1057597;Schoolboy Q
1504133622;Diablo;632926;MAC MILLER
1137179712;Such Great Heights;1653;Iron & Wine
753046552;In The Air Tonight;9325272;Lucy Dacus
1211878452;Sarcophagus III;10159994;$uicideboy$
1211878452;Sarcophagus III;115756;Ramirez
367621031;Counter Attack-Mankind;1315147;Hiroyuki Sawano
