tr_id;tr_name;art_id;art_name
92871284;This Could Be Us;5575762;Rae Sremmurd
137726975;White Iverson;7543848;Post Malone
16999980;Oldie;984385;Odd Future
1026847052;Perfect;72660;Logic
99317526;Too Easy;1162615;Futuristic
137371658;Sriracha;8218;Tech N9ne
137371658;Sriracha;72660;Logic
137371658;Sriracha;5942214;Joyner Lucas
1346126462;Ramen & OJ;5942214;Joyner Lucas
1346126462;Ramen & OJ;398521;Lil Baby
1277629752;Zim Zimma;5942214;Joyner Lucas
820998732;Lord Above;3813;Fat Joe
820998732;Lord Above;331257;Dre
820998732;Lord Above;13;Eminem
820998732;Lord Above;152;Mary J. Blige
532291692;Bouncing Off the Walls;1152089;Hi-Rez
457686932;Terminally ill (feat. Tech N9ne, KXNG Crooked, Chino XL, Rittz & DJ Statik Selektah);4578516;Forever M.C.
457686932;Terminally ill (feat. Tech N9ne, KXNG Crooked, Chino XL, Rittz & DJ Statik Selektah);10494385;It's Different
457686932;Terminally ill (feat. Tech N9ne, KXNG Crooked, Chino XL, Rittz & DJ Statik Selektah);7605110;Kxng Crooked
457686932;Terminally ill (feat. Tech N9ne, KXNG Crooked, Chino XL, Rittz & DJ Statik Selektah);872281;Rittz
457686932;Terminally ill (feat. Tech N9ne, KXNG Crooked, Chino XL, Rittz & DJ Statik Selektah);417498;Chino XL
457686932;Terminally ill (feat. Tech N9ne, KXNG Crooked, Chino XL, Rittz & DJ Statik Selektah);6368010;DJ Statik Selektah
457686932;Terminally ill (feat. Tech N9ne, KXNG Crooked, Chino XL, Rittz & DJ Statik Selektah);8218;Tech N9ne
1255014582;Just Watch Me;9337418;Kelvyn Colt
1068844952;Friday Night Cypher;15427;Big Sean
1068844952;Friday Night Cypher;11393622;Tee Grizzley
1068844952;Friday Night Cypher;6469379;Kash Doll
1068844952;Friday Night Cypher;7880842;Cash Kidd
1068844952;Friday Night Cypher;5087977;Payroll
1068844952;Friday Night Cypher;13130577;42 Dugg
1068844952;Friday Night Cypher;4437489;Boldy James
1068844952;Friday Night Cypher;12127310;Drego
1068844952;Friday Night Cypher;10955994;Sada Baby
1068844952;Friday Night Cypher;3802;"Royce da 5'9"""
1068844952;Friday Night Cypher;13;Eminem
764604112;This Changes Everything;215702;Robert Glasper
764604112;This Changes Everything;62794;Buddy
764604112;This Changes Everything;5131091;Denzel Curry
764604112;This Changes Everything;473496;Terrace Martin
764604112;This Changes Everything;4418221;James Poyser
764604122;Gone;215702;Robert Glasper
764604122;Gone;4567404;Cordae
764604122;Gone;4988;Bilal
764604122;Gone;1406;Herbie Hancock
1107222362;Rewind;4460463;Ambient Jazz Ensemble
818515412;Ascenseur pour l'echafaud;1910;Miles Davis
107425674;Weekend (feat. Miguel);632926;MAC MILLER
107425674;Weekend (feat. Miguel);365664;Miguel
132724590;Kill For You;1352674;Skylar Grey
132724590;Kill For You;13;Eminem
2517435;I'm So Fly;737;Lloyd Banks
13298811;Going Crazy;242;Jean Grae
952546652;Zoo York (feat. Fivio Foreign & Pop Smoke);51464362;Lil Tjay
952546652;Zoo York (feat. Fivio Foreign & Pop Smoke);55158992;Fivio Foreign
952546652;Zoo York (feat. Fivio Foreign & Pop Smoke);58447102;Pop Smoke
820998722;Big Splash;3813;Fat Joe
820998722;Big Splash;331257;Dre
820998722;Big Splash;155312;Remy Ma
102662494;Classic Man (feat. Kendrick Lamar) (Remix);7488552;Jidenna
102662494;Classic Man (feat. Kendrick Lamar) (Remix);525046;Kendrick Lamar
456965152;Pray For Me;4050205;The Weeknd
456965152;Pray For Me;525046;Kendrick Lamar
