tr_id;tr_name;art_id;art_name
1372275312;h u n g e r . o n . h i l l s i d e;339209;J. Cole
1372275312;h u n g e r . o n . h i l l s i d e;483061;Bas
678320952;Light Years;1578;The National
484275782;Cali;1038163;Matthew and the Atlas
536639722;Chelsea Rodgers;1878;Prince
947861082;Chicago Freestyle;246791;Drake
947861082;Chicago Freestyle;48995601;GIVĒON
747589482;Die For Me;7543848;Post Malone
747589482;Die For Me;165930;Future
747589482;Die For Me;5292512;Halsey
137833943;Change;339209;J. Cole
756868942;Funk Ain't Ova;2058;Brooklyn Funk Essentials
756868942;Funk Ain't Ova;77899;Alison Limerick
756868942;Funk Ain't Ova;319857;Desmond Foster
1390735372;This Game (No Game No Life);92256882;Cato
392629912;Carry Your Kin (Acoustic);10318178;The Breath
138124935;Turn This Mutha Out;71558;Idris Muhammad
611599292;Highly Compatible;407007;The Motet
145426922;Shake It On;7;Jamiroquai
396453012;Yes We Can Can;6243;The Pointer Sisters
1384786082;Magic;5852396;DJ Dap
1384786082;Magic;7949792;Kent Jones
75161140;Cucurucu (Single Version);496181;Nick Mulvey
554924232;Disco Ulysses (Instrumental);4441488;Vulfpeck
15627665;Time Won't Wait;7;Jamiroquai
548348682;Not Alike;13;Eminem
548348682;Not Alike;3802;"Royce da 5'9"""
1591188092;Wet Dreamz;339209;J. Cole
371988521;Relationship (feat. Future);1590752;Young Thug
371988521;Relationship (feat. Future);165930;Future
626986422;Just Let Go;5942214;Joyner Lucas
626986422;Just Let Go;102;Chris Brown
1390735092;Unravel Tokyo Ghoul (Spring);92256882;Cato
1265229672;Lemon Pepper Freestyle;246791;Drake
1265229672;Lemon Pepper Freestyle;9112;Rick Ross
646327932;Freaky;5575105;Tory Lanez
