tr_id;tr_name;art_id;art_name
615956482;Mr So & So;50983432;Tom McGuire & the Brassholes
775863972;Big Boy Diamonds (feat. Kodak Black & London on Da Track);7972;Gucci Mane
775863972;Big Boy Diamonds (feat. Kodak Black & London on Da Track);7260670;Kodak Black
775863972;Big Boy Diamonds (feat. Kodak Black & London on Da Track);8338688;London on Da Track
575943312;Lead The Wave;1622596;Takeoff
1059219802;Really Redd;15104399;Internet money
1059219802;Really Redd;11934257;Trippie Redd
1059219802;Really Redd;13053535;Lil Keed
1059219802;Really Redd;8000730;Young Nudy
820616782;Animal Spirits (Live at Madison Square Garden);4441488;Vulfpeck
820616782;Animal Spirits (Live at Madison Square Garden);482990;THEO KATZMAN
820616792;Cory Wong (Live at Madison Square Garden);4441488;Vulfpeck
833501612;Golden (feat. Cody Fry);8607980;Cory Wong
833501612;Golden (feat. Cody Fry);5120545;Cody Fry
446001202;Shy;14398785;Tuxedo & Zapp
551086452;Notre-Dame Est;5026630;Anomalie
1094564982;It Was You;12318494;Shubh Saran
873652642;Flawless;1690810;Jean Tonique
873652642;Flawless;10808030;Pink Flamingo Rhythm Revue
873652642;Flawless;167479577;Adi Oasis
130144979;Get Ready;9383;Brian Culbertson
1084294032;The Power of the One;8491;Bootsy Collins
1084294032;The Power of the One;4029;George Benson
1084294032;The Power of the One;104570;The Williams Singers
856747262;Swagism;9245844;Ghost-Note
856747262;Swagism;419201;Nigel Hall
4181876;Shake;6332;The Gap Band
417126092;Thera-P (feat. Tyshawn Colquitt & Alissia Benveniste);8491;Bootsy Collins
417126092;Thera-P (feat. Tyshawn Colquitt & Alissia Benveniste);13351159;Alissia Benveniste
417126092;Thera-P (feat. Tyshawn Colquitt & Alissia Benveniste);13351163;Tyshawn Colquitt
403814422;Fantasy (feat. Nile Rodgers);3098;George Michael
403814422;Fantasy (feat. Nile Rodgers);7207;Nile Rodgers
1788955;Can''t Fight The Funk;118428;Doctorfunk
890416412;Goldilocks Enigma;796051;Gramatik
890416412;Goldilocks Enigma;5026630;Anomalie
707845812;Betcha Wouldn't Hurt Me (Flava 2.0 Mix);13410;Full Flava
707845812;Betcha Wouldn't Hurt Me (Flava 2.0 Mix);449066;Donna Gardier
843101432;The Death of Us;482990;THEO KATZMAN
83502044;Sing a Simple Song;554688;Boston Horns
1418096252;Ace of Aces (Live at Madison Square Garden);14456947;The Fearless Flyers
404699942;Birds of a Feather, We Rock Together (feat. Antwaun Stanley);4441488;Vulfpeck
404699942;Birds of a Feather, We Rock Together (feat. Antwaun Stanley);1181145;Antwaun Stanley
741839512;Drum Machine;10056632;Pure Colors
