tr_id;tr_name;art_id;art_name
102027543;Norf Norf;4037971;Vince Staples
1151438002;Dunya (feat. LukeyWorld);6043158;GoldLink
1151438002;Dunya (feat. LukeyWorld);114393902;LukeyWorld
1151438002;Dunya (feat. LukeyWorld);114393902;LukeyWorld
1026847042;Soul Food II;72660;Logic
797676572;AA;5515551;Isaiah Rashad
663296022;Late Night Feelings (feat. Lykke Li);13204;Mark Ronson
663296022;Late Night Feelings (feat. Lykke Li);72503;Lykke Li
119437418;Breathe Life;524592;Jack Garratt
125544844;All Night (feat. Knox Fortune);4400138;Chance the Rapper
125544844;All Night (feat. Knox Fortune);10476757;Knox Fortune
361105211;Love$ick;6087776;Mura Masa
361105211;Love$ick;1518490;A$AP Rocky
655877592;3005;577666;Childish Gambino
456965032;All The Stars;525046;Kendrick Lamar
456965032;All The Stars;5531258;SZA
533802042;Ladders;632926;MAC MILLER
510731632;Reborn;14997345;KIDS SEE GHOSTS
60727004;Guardian Angel;485737;CoCo Jones
60727004;Guardian Angel;2582591;Tyler James Williams
134907112;Foreplay;260750231;Jalen Santoy
65153125;Holla at the DJ (The DJ Mike D Mix);485737;CoCo Jones
100835970;L$D;1518490;A$AP Rocky
384157651;911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy);1194083;Tyler, The Creator
384157651;911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy);65574;Steve Lacy
384157651;911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy);1350335;Frank Ocean
77913401;Tumblr Girls (feat. Christoph Andersson);810507;G-Eazy
77913401;Tumblr Girls (feat. Christoph Andersson);5851356;Christoph Andersson
386146311;Spice Girl;10792606;Aminé
397603292;SWEET;7406332;BROCKHAMPTON
440164512;Voilà;240;N.E.R.D
440164512;Voilà;7972;Gucci Mane
440164512;Voilà;281561;Wale
908958452;TEMPTATION;4105259;Joey Bada$$
1048257782;CUT EM IN (feat. Rick Ross);6474027;Anderson .Paak
1048257782;CUT EM IN (feat. Rick Ross);9112;Rick Ross
381076541;4:44;1309;JAY Z
1037870052;Roses;10385666;SAINt JHN
