tr_id;tr_name;art_id;art_name
122585788;Cold Fever;5080091;Last Train
14932099;Dead and Gone;2483;The Black Keys
137833935;Immortal;339209;J. Cole
52735971;Swimming Pools (Drank);525046;Kendrick Lamar
911803742;DEVASTATED;4105259;Joey Bada$$
128182029;Tookie Knows II;1057597;Schoolboy Q
128182029;Tookie Knows II;6126;Traffic
128182029;Tookie Knows II;1107540;TF
100835966;Canal St. (feat. Bones);1518490;A$AP Rocky
100835966;Canal St. (feat. Bones);72966502;Bones
668919272;Floating;1057597;Schoolboy Q
668919272;Floating;6853403;21 Savage
357859891;Everybody;72660;Logic
126772761;No More Parties In LA;230;Kanye West
32900591;Capitol (feat. 2 Chainz);402158;Curren$y
32900591;Capitol (feat. 2 Chainz);1384338;2 Chainz
499048992;Bubblin;6474027;Anderson .Paak
437147162;Who's Stopping Me;15427;Big Sean
437147162;Who's Stopping Me;4968870;Metro Boomin
120295638;Bounce;4318181;Flatbush Zombies
381076561;Bam;1309;JAY Z
381076561;Bam;254;Damian Marley
118211836;Yamborghini High (feat. Juicy J);5392341;A$AP Mob
118211836;Yamborghini High (feat. Juicy J);12294;Juicy J
12292152;Yonkers;1194083;Tyler, The Creator
623422532;PMW (All I Really Need) (feat. ScHoolboy Q);1518490;A$AP Rocky
623422532;PMW (All I Really Need) (feat. ScHoolboy Q);1057597;Schoolboy Q
112744102;Fade Away;72660;Logic
85508164;Control (feat. Jay Electronica & Big Sean);1057598;Black Hippy
85508164;Control (feat. Jay Electronica & Big Sean);525046;Kendrick Lamar
85508164;Control (feat. Jay Electronica & Big Sean);1155002;Ab-Soul
85508164;Control (feat. Jay Electronica & Big Sean);265914;Jay Rock
85508164;Control (feat. Jay Electronica & Big Sean);1057597;Schoolboy Q
85508164;Control (feat. Jay Electronica & Big Sean);15427;Big Sean
85508164;Control (feat. Jay Electronica & Big Sean);410877;Jay Electronica
373954411;Big Fish;4037971;Vince Staples
29640751;Terrorist Threats (feat. Danny Brown & Jhene Aiko);1155002;Ab-Soul
68350107;New Slaves;230;Kanye West
90563083;A Tale of 2 Citiez;339209;J. Cole
456965062;Opps;4037971;Vince Staples
456965062;Opps;5518476;Yugen Blakrok
