tr_id;tr_name;art_id;art_name
422235752;BOY;7990602;Duckwrth
1609498462;Favorite (feat. Duckwrth);7990602;Duckwrth
1609498462;Favorite (feat. Duckwrth);7926772;Ru AREYOU
422235722;THROWYOASSOUT;7990602;Duckwrth
422235722;THROWYOASSOUT;13057631;Channel Tres
1052649712;World On Wheels;7990602;Duckwrth
1052649712;World On Wheels;5102254;Kyle Dion
1346281012;The Way That I Do;9194062;Durand Jones & The Indications
1346281012;The Way That I Do;14597475;Aaron Frazer
130418332;We (feat. CeeLo Green);632926;MAC MILLER
130418332;We (feat. CeeLo Green);1424265;CeeLo Green
67064343;His Pain;1049196;BJ The Chicago Kid
356445421;Uso To Honto;8707974;Cat Trumpet
71511146;A Lack of Color;383;Death Cab for Cutie
144387334;Coastline;7492486;Hollow Coves
135727314;Kajun;9492178;Smino
719812782;Kool Aid;189977;Kirby
1198546822;Blue Denim Jeans;10985132;p-rallel
1198546822;Blue Denim Jeans;6229058;Lauren Faith
128451595;Right Here;1467740;Dave B. 
535814042;Where's My Tribe;507710;Charlene Soraia
145262372;Juma Mountain;93896;Sam Amidon
7449753;Baby;394885;Warpaint
523157832;Hit Me Like That Snare (feat. Rejjie Snow) (Rejjie Snow Version);1606315;alt-J
523157832;Hit Me Like That Snare (feat. Rejjie Snow) (Rejjie Snow Version);4863913;Rejjie Snow
757183562;In The Air Tonight;9325272;Lucy Dacus
62056765;Fail for You;4086166;Luke Sital-Singh
781140822;Risk;4738512;FKJ
781140822;Risk;483061;Bas
747816932;2;10260150;Khary
668935022;Where's The Catch?;812409;James Blake
668935022;Where's The Catch?;519775;André 3000
581437672;Trisha's Lullaby;62452;Uriel
1062961092;Casual Encounters;6807377;James Tillman
