tr_id;tr_name;art_id;art_name
518999702;Moonwalk (feat. Moneybagg Yo);6361702;Zoey Dollaz
518999702;Moonwalk (feat. Moneybagg Yo);7889792;Moneybagg Yo
1213631602;21 Bags;10535911;Hdbeendope
525030212;We Had A Deal;114089;Father
546780322;We All Sin Here;5076498;Doley Bernays
10895264;Gone for So Long;299581;Haystack
10895264;Gone for So Long;395446;Haystak
1575477;Talkin' All That (Album Version Explicit);81178;Cashis
469902002;AngelDust (feat. Emo Fruits);14243399;✦Pink Cig✦
469902002;AngelDust (feat. Emo Fruits);14263615;Emo Fruits
378278521;Mask Off (feat. Kendrick Lamar) (Remix);165930;Future
378278521;Mask Off (feat. Kendrick Lamar) (Remix);525046;Kendrick Lamar
120441818;Ricochet;483061;Bas
120441818;Ricochet;4103626;The Hics
394857282;Don't Test Me;13007319;Ten Tacion
878091122;BITTERSWEET;9811518;Skinny Hightower
139639027;As;610972;Becca Stevens
139639027;As;6563333;Jacob Collier
641671712;Bulletproof;1017735;Pomplamoose
490780512;Good Kisser;567146;Lake Street Dive
414426272;Something;471526;Snarky Puppy
414426272;Something;7426;Lalah Hathaway
514990892;Till The World Falls (7” Version);7207;Nile Rodgers
514990892;Till The World Falls (7” Version);2640;Chic
514990892;Till The World Falls (7” Version);6087776;Mura Masa
514990892;Till The World Falls (7” Version);12476858;Cosha
514990892;Till The World Falls (7” Version);1044777;Vic Mensa
726336712;One Shot, One Kill;1931331;Varien
613981222;Energy;493082;Big K.R.I.T.
1431997152;Better;50983432;Tom McGuire & the Brassholes
1443929852;I Been Thru A Lot;8218;Tech N9ne
1443929852;I Been Thru A Lot;5468548;Stige
1452667532;Everyday;394387;Lecrae
1452667532;Everyday;7488552;Jidenna
1452667532;Everyday;8671852;Limoblaze
1454070832;Tat My Name;5240795;Scotty ATL
1454070832;Tat My Name;402158;Curren$y
478117952;Bliss City;5097022;ODIE
823044762;Monica (feat. Tech N9ne);4318181;Flatbush Zombies
823044762;Monica (feat. Tech N9ne);8218;Tech N9ne
138540037;GLOWED UP;4452092;KAYTRANADA
138540037;GLOWED UP;6474027;Anderson .Paak
