tr_id;tr_name;art_id;art_name
120380312;untitled 02 | 06.23.2014.;525046;Kendrick Lamar
1259409032;Bury Me Alive;9337418;Kelvyn Colt
144983902;Use It;6823299;Bobby Saint
344571451;Pogo Stick;158474;Weldon Irvine
908958472;DEVASTATED;4105259;Joey Bada$$
1226934352;Bruuuh (Remix);8409650;JID
1226934352;Bruuuh (Remix);5131091;Denzel Curry
724098462;The Motion;246791;Drake
1404434812;Swordland;4663498;Yuki Kajiura
1484144952;Race My Mind;246791;Drake
860359162;CIVIL WAR (Bonus);616943;Russ
104450524;Closure;1113;Jill Scott
133200140;Dean Town;4441488;Vulfpeck
130412306;Paranoid;230;Kanye West
130412306;Paranoid;288055;Mr Hudson
61002685;Broken;1364450;Jake Bugg
14987151;If I Be Wrong;402256;Wolf Larsen
954815;Nicest Thing;15374;Kate Nash
1282973712;Colors;9846610;Emmit Fenn
136416442;Euronymous;7150049;Ghostemane
854914412;Lock It Up;13;Eminem
854914412;Lock It Up;6474027;Anderson .Paak
141921707;iSpy (feat. Lil Yachty);560932;Kyle
141921707;iSpy (feat. Lil Yachty);9776678;Lil Yachty
525249392;CLOUT COBAIN | CLOUT CO13A1N;5131091;Denzel Curry
1530187922;Trilla (feat. A$AP Nast & A$AP Twelvyy);1518490;A$AP Rocky
1530187922;Trilla (feat. A$AP Nast & A$AP Twelvyy);4962035;A$AP Nast
1530187922;Trilla (feat. A$AP Nast & A$AP Twelvyy);5810242;A$AP Twelvyy
1724077637;TWILIGHT;120425842;fkbambam
1724077637;TWILIGHT;161777462;Phonk Daddy
1735308177;Therapy Music;72660;Logic
1735308177;Therapy Music;616943;Russ
1731035467;Preguntas (feat. D Smoke);13947435;Swifty Blue
1731035467;Preguntas (feat. D Smoke);8437634;D Smoke
