tr_id;tr_name;art_id;art_name
712834402;Meet Again;5823996;Maxo Kream
1259341502;Tick Tock;7116861;Lil Toe
1011554462;Bully;14756573;Kamaara
629845112;Snort Cocaine for Jesus;15351441;Istasha
6237240;Apiádate de Mi;8650;Victor Manuelle
1302417812;Ya No Me Duele;15796;Rubén Blades
1302417812;Ya No Me Duele;14178585;Roberto Delgado & Orquesta
1302417882;Tambó;15796;Rubén Blades
1302417882;Tambó;14178585;Roberto Delgado & Orquesta
2919198;The Emperor Is Dead;76118;Gavin Greenaway
2919198;The Emperor Is Dead;4415115;The Lyndhurst Orchestra
2919198;The Emperor Is Dead;2816;Lisa Gerrard
76426389;Anequina Beckons;5080;Verschiedene Interpreten
76426389;Anequina Beckons;226238455;Brad Derrick
78969736;Bær;5962324;Hildur Guðnadóttir
142918202;From Past to Present;1195;Jeremy Soule
142918250;The Streets of Whiterun;1195;Jeremy Soule
142918206;Ancient Stones;1195;Jeremy Soule
76426352;Echoes of Aldmeris;5080;Verschiedene Interpreten
76426352;Echoes of Aldmeris;226238455;Brad Derrick
76426351;Omens in the Clouds;5080;Verschiedene Interpreten
76426351;Omens in the Clouds;226238455;Brad Derrick
28255231;Journey To Fenland;6005;James Newton Howard
678632;The Grey Havens (feat. Sir James Galway);556;Howard Shore
678632;The Grey Havens (feat. Sir James Galway);263207;Sir James Galway
1066805012;Don't Start Now;9891914;Penny and Sparrow
1204842772;If You Love Her (Acoustic);13346517;Forest Blakk
663846962;Dreamers Of The Shore;60234302;Volcan Peaks
663846962;Dreamers Of The Shore;60234112;Cody Francis
845468332;Colors (Acoustic);14277911;Black Pumas
895104012;Your Song;311820;Ellie Goulding
113420718;Like I'm Gonna Lose You (feat. John Legend);1181430;Meghan Trainor
113420718;Like I'm Gonna Lose You (feat. John Legend);313;John Legend
1198768852;On The Road Again;11285272;The Brother Brothers
1010715162;Watermelon Sugar (Acoustic);7159218;Jonah Baker
