tr_id;tr_name;art_id;art_name
1732584217;a little sound;793825;The Lumineers
1671963367;Sparks;1352674;Skylar Grey
1712539417;OUTSIDE;5368444;Eva Shaw
1712539417;OUTSIDE;1477173;Jazz Cartier
1712539417;OUTSIDE;10827978;Kris the $pirit
1732736187;Simply The Best;7159218;Jonah Baker
1739350407;D.M.B.;1518490;A$AP Rocky
1714131637;It Will Come In Time;10135;Benny Sings
385171861;New Addy;7044549;Eli Sostre
954203832;City Girls;102;Chris Brown
954203832;City Girls;1590752;Young Thug
650805282;Let Down The Pressure;62748372;Solar Project
15627649;Talullah;7;Jamiroquai
137726997;Money Made Me Do It;7543848;Post Malone
137726997;Money Made Me Do It;1384338;2 Chainz
1736557677;NO SECURITY (feat. BabyFace Ray);165930;Future
1736557677;NO SECURITY (feat. BabyFace Ray);7973524;Babyface Ray
12164499;Work to Do;5456;Average White Band
1739345917;D.M.B.;1518490;A$AP Rocky
1487936102;scars;48947681;Baby Keem
1120586412;I Don't Want to Let You Go;8984244;Jordan Hart
751077692;Is This Nice?;2689;Devendra Banhart
137726969;Deja Vu;7543848;Post Malone
137726969;Deja Vu;288166;Justin Bieber
98324152;FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis);1194083;Tyler, The Creator
98324152;FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis);297;Charlie Wilson
98324152;FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis);4565343;Chaz Bundick
98324152;FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis);5324308;Sydney Bennett
98324152;FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis);6043160;Kali Uchis
76187542;Destination;3371;Nickel Creek
1647876022;The Woods;7492486;Hollow Coves
1735302227;Therapy Music;72660;Logic
1735302227;Therapy Music;616943;Russ
124603258;Weston Road Flows;246791;Drake
1408058332;Picasso;4962010;Migos
1408058332;Picasso;165930;Future
97206064;These Walls;525046;Kendrick Lamar
97206064;These Walls;4988;Bilal
97206064;These Walls;10798268;Anna Wise
97206064;These Walls;546520;Thundercat
