pl_id;pl_name;tr_id;tr_name
9090127742;Lieblingssongs;85140766;The Clapping Song
9090127742;Lieblingssongs;13784672;I Can See Clearly Now
9090127742;Lieblingssongs;1173367512;Georgia on My Mind (Original Master Recording)
9090127742;Lieblingssongs;463407682;Mercy, Mercy
9090127742;Lieblingssongs;537995812;Never, Never Gonna Give Ya Up
9090127742;Lieblingssongs;103511672;Move on Up (Live)
9090127742;Lieblingssongs;502503452;Read Between the Lines
9090127742;Lieblingssongs;74227856;Heat Wave
9090127742;Lieblingssongs;1025944462;Dior (Bonus)
9090127742;Lieblingssongs;1283264562;Butterflies
9090127742;Lieblingssongs;1173891362;Solo Dolo, Pt. III
9090127742;Lieblingssongs;677657032;A LOT TO LOSE
9090127742;Lieblingssongs;1253000872;Hate Me If You Must
9090127742;Lieblingssongs;1249296872;Skegee
9090127742;Lieblingssongs;1372275272;l e t . g o . m y . h a n d
9090127742;Lieblingssongs;1157041732;Can’t Decide
9090127742;Lieblingssongs;981948962;GOAT Spirit
9090127742;Lieblingssongs;1077086012;Santos Party House
9090127742;Lieblingssongs;809970202;Disco Shit
9090127742;Lieblingssongs;781591192;Iced Out Gold Chain
9090127742;Lieblingssongs;1068997122;For Real (feat. Kemba)
9090127742;Lieblingssongs;108017802;White Rapper
9090127742;Lieblingssongs;509934822;Down State
9090127742;Lieblingssongs;79156369;Carry On (feat. Joey Bada$$, Freddie Gibbs)
9090127742;Lieblingssongs;1174643782;Annie
