pl_id;pl_name;tr_id;tr_name
9090127742;Lieblingssongs;102027543;Norf Norf
9090127742;Lieblingssongs;1151438002;Dunya (feat. LukeyWorld)
9090127742;Lieblingssongs;1026847042;Soul Food II
9090127742;Lieblingssongs;797676572;AA
9090127742;Lieblingssongs;663296022;Late Night Feelings (feat. Lykke Li)
9090127742;Lieblingssongs;119437418;Breathe Life
9090127742;Lieblingssongs;125544844;All Night (feat. Knox Fortune)
9090127742;Lieblingssongs;361105211;Love$ick
9090127742;Lieblingssongs;655877592;3005
9090127742;Lieblingssongs;456965032;All The Stars
9090127742;Lieblingssongs;533802042;Ladders
9090127742;Lieblingssongs;510731632;Reborn
9090127742;Lieblingssongs;60727004;Guardian Angel
9090127742;Lieblingssongs;134907112;Foreplay
9090127742;Lieblingssongs;65153125;Holla at the DJ (The DJ Mike D Mix)
9090127742;Lieblingssongs;100835970;L$D
9090127742;Lieblingssongs;384157651;911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)
9090127742;Lieblingssongs;77913401;Tumblr Girls (feat. Christoph Andersson)
9090127742;Lieblingssongs;386146311;Spice Girl
9090127742;Lieblingssongs;397603292;SWEET
9090127742;Lieblingssongs;440164512;Voilà
9090127742;Lieblingssongs;908958452;TEMPTATION
9090127742;Lieblingssongs;1048257782;CUT EM IN (feat. Rick Ross)
9090127742;Lieblingssongs;381076541;4:44
9090127742;Lieblingssongs;1037870052;Roses
