pl_id;pl_name;tr_id;tr_name
9090127742;Lieblingssongs;6717894;I Made It (Cash Money Heroes)
9090127742;Lieblingssongs;134347064;Westside Bound 3
9090127742;Lieblingssongs;108608192;Shadows
9090127742;Lieblingssongs;136395616;2 AM
9090127742;Lieblingssongs;715572602;Bang
9090127742;Lieblingssongs;7988084;Hello Good Morning
9090127742;Lieblingssongs;894170712;Don't Slack (from Trolls World Tour)
9090127742;Lieblingssongs;137833945;Neighbors
9090127742;Lieblingssongs;141433455;Jump Out The Window
9090127742;Lieblingssongs;5727577;Sparkles
9090127742;Lieblingssongs;85567898;Hunnid Stax (feat. ScHoolboy Q)
9090127742;Lieblingssongs;85508152;Ballin (feat. Bow Wow)
9090127742;Lieblingssongs;72686185;Old Friend
9090127742;Lieblingssongs;13797408;Can I Live
9090127742;Lieblingssongs;99317508;The Greatest
9090127742;Lieblingssongs;138202245;Legend Has It
9090127742;Lieblingssongs;14301659;Who Do I Catch
9090127742;Lieblingssongs;135674972;Money Showers
9090127742;Lieblingssongs;128458661;Savage Mode
9090127742;Lieblingssongs;14508340;Skitzo
9090127742;Lieblingssongs;74791099;Ronnie Drake (feat. SZA)
9090127742;Lieblingssongs;533802002;What's the Use?
9090127742;Lieblingssongs;1379216492;I Won
9090127742;Lieblingssongs;1089687712;Lemonade (Remix)
9090127742;Lieblingssongs;1068853152;Wolves
