pl_id;pl_name;tr_id;tr_name
9090127742;Lieblingssongs;712834402;Meet Again
9090127742;Lieblingssongs;1259341502;Tick Tock
9090127742;Lieblingssongs;1011554462;Bully
9090127742;Lieblingssongs;629845112;Snort Cocaine for Jesus
9090127742;Lieblingssongs;6237240;Apiádate de Mi
9090127742;Lieblingssongs;1302417812;Ya No Me Duele
9090127742;Lieblingssongs;1302417882;Tambó
9090127742;Lieblingssongs;2919198;The Emperor Is Dead
9090127742;Lieblingssongs;76426389;Anequina Beckons
9090127742;Lieblingssongs;78969736;Bær
9090127742;Lieblingssongs;142918202;From Past to Present
9090127742;Lieblingssongs;142918250;The Streets of Whiterun
9090127742;Lieblingssongs;142918206;Ancient Stones
9090127742;Lieblingssongs;76426352;Echoes of Aldmeris
9090127742;Lieblingssongs;76426351;Omens in the Clouds
9090127742;Lieblingssongs;28255231;Journey To Fenland
9090127742;Lieblingssongs;678632;The Grey Havens (feat. Sir James Galway)
9090127742;Lieblingssongs;1066805012;Don't Start Now
9090127742;Lieblingssongs;1204842772;If You Love Her (Acoustic)
9090127742;Lieblingssongs;663846962;Dreamers Of The Shore
9090127742;Lieblingssongs;845468332;Colors (Acoustic)
9090127742;Lieblingssongs;895104012;Your Song
9090127742;Lieblingssongs;113420718;Like I'm Gonna Lose You (feat. John Legend)
9090127742;Lieblingssongs;1198768852;On The Road Again
9090127742;Lieblingssongs;1010715162;Watermelon Sugar (Acoustic)
