pl_id;pl_name;tr_id;tr_name
9090127742;Lieblingssongs;422235752;BOY
9090127742;Lieblingssongs;1609498462;Favorite (feat. Duckwrth)
9090127742;Lieblingssongs;422235722;THROWYOASSOUT
9090127742;Lieblingssongs;1052649712;World On Wheels
9090127742;Lieblingssongs;1346281012;The Way That I Do
9090127742;Lieblingssongs;130418332;We (feat. CeeLo Green)
9090127742;Lieblingssongs;67064343;His Pain
9090127742;Lieblingssongs;356445421;Uso To Honto
9090127742;Lieblingssongs;71511146;A Lack of Color
9090127742;Lieblingssongs;144387334;Coastline
9090127742;Lieblingssongs;135727314;Kajun
9090127742;Lieblingssongs;719812782;Kool Aid
9090127742;Lieblingssongs;1198546822;Blue Denim Jeans
9090127742;Lieblingssongs;128451595;Right Here
9090127742;Lieblingssongs;535814042;Where's My Tribe
9090127742;Lieblingssongs;145262372;Juma Mountain
9090127742;Lieblingssongs;7449753;Baby
9090127742;Lieblingssongs;523157832;Hit Me Like That Snare (feat. Rejjie Snow) (Rejjie Snow Version)
9090127742;Lieblingssongs;757183562;In The Air Tonight
9090127742;Lieblingssongs;62056765;Fail for You
9090127742;Lieblingssongs;781140822;Risk
9090127742;Lieblingssongs;747816932;2
9090127742;Lieblingssongs;668935022;Where's The Catch?
9090127742;Lieblingssongs;581437672;Trisha's Lullaby
9090127742;Lieblingssongs;1062961092;Casual Encounters
