event_name;date;location;search_term;art_id
Nachtschwimmer mit Miguel Campbell;18. Sep 2013;Pratersauna;Miguel;365664
Nachtschwimmer feat. Miguel Campbell;10. Jul 2013;Pratersauna;Miguel;365664
Akustikloft: Miguel Guiness;30. May 2012;The Loft;Miguel;365664
Acoustic Summer In The City: Mike Herrera of Mxpx & Miguel Guinness;17. Aug 2011;B72;Miguel;365664
San Miguel Primavera Sound;25. May 2011  –  29. May 2011;Parc Del Forum;Miguel;365664
Miguel Guniess - Akustik Session;16. Mar 2011;The Loft;Miguel;365664
