event_name;date;location;search_term;art_id
George Michael - Ausverkauft!;06. Sep 2012;Wiener Stadthalle;George+Michael;3098
George Michael - Zusatzkonzert;04. Sep 2012;Wiener Stadthalle;George+Michael;3098
George Michael “Symphonica” - Abgesagt!;21. Nov 2011;Wiener Stadthalle;George+Michael;3098
