event_name;date;location;search_term;art_id
Justin Bieber - Purpose World Tour;08. Nov 2016;Wiener Stadthalle - Halle D;Justin+Bieber;288166
Justin Bieber;30. Mar 2013;Wiener Stadthalle;Justin+Bieber;288166
