event_name;date;location;search_term;art_id
Boogie Night;26. Oct 2024;Cabaret Fledermaus;Boogie;14708169
Boogie Night;28. Sep 2024;Cabaret Fledermaus;Boogie;14708169
Axel Zwingenberger - Good Time Boogie Woogie;15. Dec 2023;Stadtsaal Wien;Boogie;14708169
Axel Zwingenberger - solo - Boogie Woogie Classics;12. Mar 2020;Kultur im Zentrum;Boogie;14708169
Axel Zwingenberger - Boogie Woogie Classics;11. Feb 2020;Casino Graz;Boogie;14708169
Boogie Woogie goes Casino;30. Jan 2020;Casino Innsbruck;Boogie;14708169
Axel Zwingenberger - solo - Boogie Woogie Classics;25. Jan 2020;Kunsthaus Weiz;Boogie;14708169
