event_name;date;location;search_term;art_id
Kyle Lionhart;08. Jun 2023;Rhiz;Kyle;560932
The Kyle Gass Company;13. Mar 2020;Chelsea;Kyle;560932
Zuckerwatt w/ ANNA & Kyle E;14. Aug 2018;Grelle Forelle;Kyle;560932
Dead Sea Diaries feat. Etapp Kyle (Ostgut Ton/Berghain);06. Jul 2018;Grelle Forelle;Kyle;560932
Dead Sea Diaries feat. Etapp Kyle;15. Jul 2017;Grelle Forelle;Kyle;560932
Kyle Gass Band;26. Apr 2017  –  26. Apr 2017;Rockhouse Salzburg;Kyle;560932
Kyle Gass Band;11. Sep 2016;Conrad Sohm;Kyle;560932
Kyle Gass Band;10. Sep 2016;Szene Wien;Kyle;560932
