event_name;date;location;search_term;art_id
Jamiroquai Reloaded;05. Dec 2023;Praterstrasse / PRST;Jamiroquai;7
Jamiroquai;15. Nov 2017;Wiener Stadthalle - Halle D;Jamiroquai;7
Jamiroquai;28. Mar 2011;Wiener Stadthalle;Jamiroquai;7
