event_name;date;location;search_term;art_id
The Last Dinner Party;26. Feb 2024;Grelle Forelle;Dinner+Party;981671
Schönbrunner Perlen, Camouflage Club, After Dinner Party;28. Nov 2014;Das Werk;Dinner+Party;981671
