event_name;date;location;search_term;art_id
Werk Statt Raum w/ DJ Sundae & Heavy Traffic Floor;08. Jun 2019;Das Werk;Traffic;6126
Traffic Light Party @ Travelshack;07. Apr 2016;Travel-Shack;Traffic;6126
