event_name;date;location;search_term;art_id
Saba;02. Mar 2019;Flex - Café;Saba;130363052
Andreas Spechtl & Saba Alizadeh;01. Nov 2017;rhiz - bar modern;Saba;130363052
Canyoudigit w/ Jazz Cartier & Saba live;23. Apr 2016;Cafe Leopold;Saba;130363052
