event_name;date;location;search_term;art_id
Larkin Poe;03. Nov 2023;Ottakringer Brauerei;Larkin+Poe;389902
Larkin Poe;21. May 2022;SiMM City;Larkin+Poe;389902
Larkin Poe;05. Nov 2021;WUK;Larkin+Poe;389902
Larkin Poe;27. Nov 2018;Flex;Larkin+Poe;389902
