event_name;date;location;search_term;art_id
Karl Ratzer Quintet - Plays Ray Charles;29. Dec 2018;Bräuhaus Eferding;Ray+Charles;1342
The Music Of Ray Charles And The Atlantic Records Family;24. May 2014;OST Bühne;Ray+Charles;1342
