event_name;date;location;search_term;art_id
Gorillaz - Humanz Tour 2017;02. Nov 2017;Wiener Stadthalle - Halle D;Gorillaz;14
AFTER THE SHOW GORILLAZ;02. Nov 2017;The Loft;Gorillaz;14
