event_name;date;location;search_term;art_id
Fear le Funk – Asher Roth w/ Nottz & Saga;09. Apr 2016;B72;Asher+Roth;167264
Asher Roth;03. Mar 2013;Rockhouse Salzburg;Asher+Roth;167264
