event_name;date;location;search_term;art_id
George Ezra;22. Feb 2023;Wiener Stadthalle - Halle D;George+Ezra;5241932
George Ezra;20. May 2019;Wiener Stadthalle - Halle D;George+Ezra;5241932
George Ezra;23. Oct 2018;Raiffeisen Halle (früher: Planet.tt Gasometer);George+Ezra;5241932
George Ezra - Ausverkauft!;25. Nov 2014;Arena Wien - Große Halle;George+Ezra;5241932
