event_name;date;location;search_term;art_id
Beat The Fish Deluxe presents Snoop Dogg;22. Jul 2015;Arena Wien - Open Air;Snoop+Dogg;3
Juicy - Bigger & Better Special feat. DJ Snoopadelic aka Snoop Dogg;14. Aug 2014;;Snoop+Dogg;3
