event_name;date;location;search_term;art_id
Feist;31. Aug 2023;Raiffeisen Halle (früher: Planet.tt Gasometer);Feist;644
Feist;10. Mar 2012;Raiffeisen Halle (früher: Planet.tt Gasometer);Feist;644
