event_name;date;location;search_term;art_id
Bruno Mars - The Moonshine Jungle Tour 2013 - Ausverkauft!;24. Oct 2013;Wiener Stadthalle;Bruno+Mars;429675
Bruno Mars - The Hooligans European Tour;12. Oct 2011;Wiener Stadthalle;Bruno+Mars;429675
