event_name;date;location;search_term;art_id
Ben Howard;06. Jul 2023;Arena Wien - Open Air;Ben+Howard;401577
Ben Howard;29. Nov 2014;Raiffeisen Halle (früher: Planet.tt Gasometer);Ben+Howard;401577
