event_name;date;location;search_term;art_id
Geoff Berner;19. Nov 2019;Sargfabrik;Berner;376547
Geoff Berner Duo, Nifty's;12. Dec 2015;U4;Berner;376547
Geoff Berner & Shmaltz 16. intern. Akkordeonfestival;12. Mar 2015;Reigen;Berner;376547
KlezMore Festival: Geoff Berner Trio & DJ Sid Data;06. Nov 2011;OST Klub;Berner;376547
