event_name;date;location;search_term;art_id
Bones;12. May 2020;SiMM City;Bones;72966502
Fox And Bones at Waves Vienna;28. Sep 2019;WUK;Bones;72966502
Ebony Bones!;20. Sep 2019;Porgy & Bess;Bones;72966502
