event_name;date;location;search_term;art_id
William Fitzsimmons;25. May 2019;Posthof - Großer Saal;William+Fitzsimmons;182449
William Fitzsimmons;24. May 2019;WUK;William+Fitzsimmons;182449
William Fitzsimmons;24. May 2019;WUK;William+Fitzsimmons;182449
William Fitzsimmons;24. May 2019;WUK;William+Fitzsimmons;182449
Joshua Radin & William Fitzsimmons;03. Oct 2018;Ottakringer Brauerei;William+Fitzsimmons;182449
William Fitzsimmons;20. Jul 2016;Postgarage;William+Fitzsimmons;182449
William Fitzsimmons;19. Jul 2016;WUK;William+Fitzsimmons;182449
FM4 Radio Session: William Fitzsimmons;19. Mar 2014;;William+Fitzsimmons;182449
